,Features,Scores
0,Hours,0.539324
1,HR,0.007051418
2,O2Sat,0.006162498
3,Temp,0.009859509
4,SBP,0.0057259444
5,MAP,0.005498491
6,DBP,0.0070354734
7,Resp,0.0064484896
8,EtCO2,0.0102692945
9,BaseExcess,0.010710431
10,HCO3,0.012933946
11,FiO2,0.010522895
12,pH,0.011366581
13,PaCO2,0.010183246
14,SaO2,0.010900525
15,AST,0.012254165
16,BUN,0.012672466
17,Alkalinephos,0.01237721
18,Calcium,0.016382499
19,Chloride,0.01211327
20,Creatinine,0.01196334
21,Bilirubin_direct,0.014620019
22,Glucose,0.009457874
23,Lactate,0.011305293
24,Magnesium,0.02014978
25,Phosphate,0.01282829
26,Potassium,0.012077401
27,Bilirubin_total,0.014309271
28,TroponinI,0.013205664
29,Hct,0.009787556
30,Hgb,0.012584161
31,PTT,0.012097943
32,WBC,0.012254138
33,Fibrinogen,0.014065845
34,Platelets,0.01176779
35,Age,0.013692902
36,Gender,0.0118979
37,Unit1,0.016296983
38,Unit2,0.012085429
39,HospAdmTime,0.013535403
40,ICULOS,0.010224696
